Długość kroku,Lp.,x1(0),x2(0),Metoda najszybszego spadku,,,,,,Metoda gradientów sprzężonych,,,,,,Metoda Newtona,,,,,,
,97,"-1,61682","1,19253","-1,75E+00","8,74E-01","2,99E-01",65,65,NIE,"-1,75E+00","8,74E-01","2,99E-01",21,21,NIE,"-1,75E+00","8,74E-01","2,99E-01",145,145,144,NIE
,98,"-1,35111","1,58563","-1,75E+00","8,74E-01","2,99E-01",72,72,NIE,"-1,75E+00","8,74E-01","2,99E-01",23,23,NIE,"-1,07E+00","5,36E-01","8,77E-01",156,156,155,NIE
,99,"1,94997","-1,85217","1,75E+00","-8,74E-01","2,99E-01",77,77,NIE,"1,75E+00","-8,74E-01","2,99E-01",24,24,NIE,"1,75E+00","-8,74E-01","2,99E-01",161,161,160,NIE
,100,"-0,519639","-0,579532","2,25E-04","-5,42E-04","2,73E-07",77,77,TAK,"6,07E-06","-3,08E-04","9,28E-08",24,24,TAK,"-1,22E-04","-2,51E-04","1,23E-07",155,155,154,TAK
"0,25",1,"-0,583316","-0,26823","-1,47E-04","3,54E-04","1,16E-07",12,12,TAK,"-1,70E-04","1,44E-04","5,40E-08",9,9,TAK,"-1,75E+00","8,74E-01","2,99E-01",35,35,34,NIE
,2,"1,51591","0,659064","1,83E+00","-8,02E-01","3,59E-01",10001,10001,NIE,nan,nan,nan,10001,10001,NIE,"1,75E+00","-8,74E-01","2,99E-01",31,31,30,NIE
,3,"-1,16589","1,84499","-2,31E-04","5,57E-04","2,89E-07",20,20,TAK,nan,nan,nan,10001,10001,NIE,"-1,07E+00","5,36E-01","8,77E-01",29,29,28,NIE
,4,"0,475442","-1,83241","1,67E-04","-4,02E-04","1,50E-07",18,18,TAK,"5,43E-05","-2,15E-04","4,03E-08",10,10,TAK,"4,13E-05","-4,00E-04","1,47E-07",30,30,29,TAK
,5,"-0,747127","0,509151","-2,28E-04","5,51E-04","2,82E-07",16,16,TAK,"-1,39E-04","1,96E-04","4,99E-08",16,16,TAK,"-1,07E+00","5,35E-01","8,77E-01",25,25,24,NIE
,6,"-1,40741","1,85124","-2,04E-04","4,92E-04","2,25E-07",19,19,TAK,nan,nan,nan,10001,10001,NIE,"-1,07E+00","5,36E-01","8,77E-01",29,29,28,NIE
,7,"-0,291898","1,74126","-2,29E-04","5,53E-04","2,85E-07",17,17,TAK,"1,63E-04","-1,40E-04","5,00E-08",10,10,TAK,"-5,85E-05","4,09E-04","1,50E-07",30,30,29,TAK
,8,"0,731789","-1,87915","1,93E-04","-4,66E-04","2,01E-07",19,19,TAK,"-3,91E-05","2,15E-04","4,09E-08",14,14,TAK,"1,07E+00","-5,36E-01","8,77E-01",29,29,28,NIE
,9,"-0,377476","-0,60505","2,06E-04","-4,97E-04","2,29E-07",14,14,TAK,"1,11E-04","-3,22E-04","9,27E-08",9,9,TAK,"-1,15E-04","-2,78E-04","1,36E-07",28,28,27,TAK
,10,"0,0857706","0,248496","-1,76E-04","4,25E-04","1,67E-07",13,13,TAK,"-1,20E-04","4,36E-04","1,67E-07",8,8,TAK,"8,49E-05","2,50E-04","9,81E-08",25,25,24,TAK
,11,"-1,55236","-0,839466","-1,69E+00","7,65E-01","3,24E-01",10001,10001,NIE,nan,nan,nan,10001,10001,NIE,"-1,75E+00","8,73E-01","2,99E-01",30,30,29,NIE
,12,"-0,961683","0,00796753","-1,61E-04","3,87E-04","1,39E-07",17,17,TAK,nan,nan,nan,10001,10001,NIE,"-1,07E+00","5,35E-01","8,77E-01",26,26,25,NIE
,13,"-1,83111","1,00019","-1,71E+00","7,77E-01","3,13E-01",10001,10001,NIE,nan,nan,nan,10001,10001,NIE,"-1,75E+00","8,74E-01","2,99E-01",26,26,25,NIE
,14,"-0,84138","-0,293224","-1,55E-04","3,75E-04","1,31E-07",15,15,TAK,"1,56E-04","-1,71E-04","5,13E-08",9,9,TAK,"-1,07E+00","5,35E-01","8,77E-01",28,28,27,NIE
,15,"1,22059","-0,564813","1,89E+00","-8,45E-01","4,65E-01",10001,10001,NIE,nan,nan,nan,10001,10001,NIE,"1,07E+00","-5,35E-01","8,77E-01",24,24,23,NIE
,16,"0,66286","-1,29311","2,36E-04","-5,70E-04","3,02E-07",17,17,TAK,"-1,47E-04","2,01E-04","5,40E-08",9,9,TAK,"1,07E+00","-5,36E-01","8,77E-01",28,28,27,NIE
,17,"1,89073","-1,85677","1,75E-04","-4,22E-04","1,66E-07",20,20,TAK,nan,nan,nan,10001,10001,NIE,"1,75E+00","-8,74E-01","2,99E-01",29,29,28,NIE
,18,"-1,1922","-0,186912","-1,28E+00","8,78E-01","8,38E-01",10001,10001,NIE,nan,nan,nan,10001,10001,NIE,"-1,07E+00","5,35E-01","8,77E-01",27,27,26,NIE
,19,"-0,437421","0,647705","-1,65E-04","3,99E-04","1,48E-07",16,16,TAK,"-2,14E-04","3,41E-04","1,35E-07",9,9,TAK,"-2,51E-04","5,56E-04","2,95E-07",25,25,24,TAK
,20,"-1,56912","-0,652602","-1,36E+00","8,82E-01","7,43E-01",10001,10001,NIE,nan,nan,nan,10001,10001,NIE,"-1,75E+00","8,73E-01","2,99E-01",29,29,28,NIE
,21,"-1,18532","-0,911714","-1,87E-04","4,51E-04","1,89E-07",17,17,TAK,nan,nan,nan,10001,10001,NIE,"-1,07E+00","5,35E-01","8,77E-01",30,30,29,NIE
,22,"1,16963","1,53388","1,65E-04","-3,97E-04","1,47E-07",13,13,TAK,"2,48E-04","-4,17E-04","1,93E-07",10,10,TAK,"1,07E+00","-5,35E-01","8,77E-01",31,31,30,NIE
,23,"-0,152529","-0,798696","2,24E-04","-5,41E-04","2,72E-07",15,15,TAK,"1,73E-04","-5,19E-04","2,39E-07",9,9,TAK,"-6,18E-05","-3,39E-04","1,44E-07",28,28,27,TAK
,24,"-0,715886","-1,61496","1,99E-04","-4,81E-04","2,15E-07",16,16,TAK,"7,50E-05","-3,92E-04","1,36E-07",9,9,TAK,"-1,07E+00","5,35E-01","8,77E-01",31,31,30,NIE
,25,"-0,53501","0,59715","-1,74E-04","4,21E-04","1,65E-07",16,16,TAK,"-1,04E-04","-2,03E-04","8,42E-08",9,9,TAK,"-2,50E-04","5,66E-04","3,04E-07",24,24,23,TAK
,26,"-1,3606","-0,0170489","-1,46E+00","8,84E-01","5,92E-01",10001,10001,NIE,nan,nan,nan,10001,10001,NIE,"-1,07E+00","5,35E-01","8,77E-01",27,27,26,NIE
,27,"0,39311","-1,74104","1,46E-04","-3,53E-04","1,16E-07",18,18,TAK,"-2,39E-04","2,45E-04","1,16E-07",10,10,TAK,"8,61E-05","-5,33E-04","2,53E-07",29,29,28,TAK
,28,"-0,700977","-0,88487","1,87E-04","-4,51E-04","1,89E-07",14,14,TAK,"-4,38E-05","-3,64E-04","1,53E-07",9,9,TAK,"-1,07E+00","5,35E-01","8,77E-01",30,30,29,NIE
,29,"0,465251","1,1931","-1,72E-04","4,15E-04","1,60E-07",16,16,TAK,"-6,52E-05","2,53E-04","5,62E-08",10,10,TAK,"4,86E-05","3,15E-04","1,19E-07",30,30,29,TAK
,30,"0,67454","-1,77103","2,21E-04","-5,34E-04","2,65E-07",18,18,TAK,"2,66E-05","-1,24E-04","1,35E-08",14,14,TAK,"1,07E+00","-5,36E-01","8,77E-01",29,29,28,NIE
,31,"-0,765758","1,06347","-1,47E-04","3,55E-04","1,17E-07",18,18,TAK,"1,40E-04","-5,49E-04","2,63E-07",10,10,TAK,"-1,07E+00","5,36E-01","8,77E-01",27,27,26,NIE
,32,"-0,783647","0,0965208","-1,51E-04","3,65E-04","1,24E-07",16,16,TAK,"-2,01E-04","2,95E-04","1,09E-07",15,15,TAK,"-1,07E+00","5,35E-01","8,77E-01",27,27,26,NIE
,33,"1,07921","-0,529501","1,72E+00","-8,24E-01","3,04E-01",10001,10001,NIE,nan,nan,nan,10001,10001,NIE,"1,07E+00","-5,35E-01","8,77E-01",14,14,13,NIE
,34,"-1,02108","-1,32804","1,50E-04","-3,61E-04","1,21E-07",13,13,TAK,"4,47E-06","2,73E-04","7,57E-08",11,11,TAK,"-1,07E+00","5,35E-01","8,77E-01",31,31,30,NIE
,35,"0,991522","0,967436","2,19E-04","-5,29E-04","2,59E-07",12,12,TAK,"3,03E-06","-2,63E-04","6,85E-08",11,11,TAK,"1,07E+00","-5,35E-01","8,77E-01",30,30,29,NIE
,36,"-0,526385","-1,36804","1,94E-04","-4,69E-04","2,05E-07",16,16,TAK,"6,00E-05","-2,72E-04","6,50E-08",10,10,TAK,"7,64E-05","-4,27E-04","1,61E-07",30,30,29,TAK
,37,"-0,514386","0,206446","-1,56E-04","3,78E-04","1,33E-07",15,15,TAK,"5,66E-05","-2,77E-04","6,74E-08",10,10,TAK,"3,06E-04","-2,74E-04","1,78E-07",22,22,21,TAK
,38,"-1,77131","-0,659504","-1,87E+00","7,92E-01","4,17E-01",10001,10001,NIE,nan,nan,nan,10001,10001,NIE,"-1,75E+00","8,73E-01","2,99E-01",30,30,29,NIE
,39,"0,210817","1,54579","-1,70E-04","4,10E-04","1,56E-07",17,17,TAK,"-6,30E-05","3,50E-04","1,08E-07",10,10,TAK,"4,61E-05","3,70E-04","1,58E-07",30,30,29,TAK
,40,"-0,692949","-0,94294","2,21E-04","-5,35E-04","2,65E-07",14,14,TAK,"-8,17E-06","-1,72E-04","3,10E-08",10,10,TAK,"-1,07E+00","5,35E-01","8,77E-01",30,30,29,NIE
,41,"0,385781","1,80282","-1,89E-04","4,56E-04","1,93E-07",17,17,TAK,"-7,01E-05","3,63E-04","1,16E-07",10,10,TAK,"4,86E-05","3,32E-04","1,31E-07",31,31,30,TAK
,42,"1,10766","1,07606","1,67E-04","-4,03E-04","1,51E-07",15,15,TAK,"-2,66E-04","3,63E-04","1,76E-07",9,9,TAK,"1,07E+00","-5,35E-01","8,77E-01",30,30,29,NIE
,43,"-1,37418","0,664932","-1,83E+00","8,03E-01","3,55E-01",10001,10001,NIE,nan,nan,nan,10001,10001,NIE,"-1,07E+00","5,35E-01","8,77E-01",26,26,25,NIE
,44,"0,464424","-0,631772","1,67E-04","-4,03E-04","1,51E-07",16,16,TAK,"1,97E-04","-2,61E-04","9,42E-08",9,9,TAK,"2,07E-04","-5,04E-04","2,36E-07",25,25,24,TAK
,45,"-1,22557","-1,26123","-2,26E-04","5,46E-04","2,77E-07",16,16,TAK,"-8,98E-05","2,46E-04","5,44E-08",16,16,TAK,"-1,07E+00","5,35E-01","8,77E-01",30,30,29,NIE
,46,"0,117091","-0,129171","1,48E-04","-3,57E-04","1,18E-07",13,13,TAK,"6,97E-05","-2,59E-04","5,86E-08",8,8,TAK,"2,72E-04","-3,04E-04","1,57E-07",22,22,21,TAK
,47,"0,360515","-0,296084","2,40E-04","-5,79E-04","3,11E-07",14,14,TAK,"1,98E-05","-3,87E-04","1,43E-07",7,7,TAK,"2,71E-04","-2,52E-04","1,42E-07",25,25,24,TAK
,48,"-0,488243","-1,9049","1,89E-04","-4,56E-04","1,94E-07",17,17,TAK,"7,42E-05","-3,36E-04","9,92E-08",10,10,TAK,"-2,08E-05","-3,73E-04","1,48E-07",31,31,30,TAK
,49,"1,39835","0,649292","1,57E+00","-7,65E-01","4,32E-01",10001,10001,NIE,nan,nan,nan,10001,10001,NIE,"1,07E+00","-5,35E-01","8,77E-01",29,29,28,NIE
,50,"1,71163","-0,786145","1,88E+00","-8,12E-01","4,53E-01",10001,10001,NIE,nan,nan,nan,10001,10001,NIE,"1,75E+00","-8,74E-01","2,99E-01",22,22,21,NIE
,51,"0,771266","0,707651","-2,01E-04","4,86E-04","2,20E-07",11,11,TAK,"-2,12E-05","-1,31E-04","2,09E-08",11,11,TAK,"1,07E+00","-5,35E-01","8,77E-01",29,29,28,NIE
,52,"-0,328393","-0,866532","2,15E-04","-5,20E-04","2,51E-07",15,15,TAK,"1,79E-04","-5,36E-04","2,56E-07",9,9,TAK,"-8,30E-05","-2,86E-04","1,19E-07",29,29,28,TAK
,53,"-0,581928","-1,89868","1,74E-04","-4,20E-04","1,64E-07",17,17,TAK,"6,79E-05","-3,04E-04","8,08E-08",10,10,TAK,"-1,75E+00","8,74E-01","2,99E-01",37,37,36,NIE
,54,"-0,120148","-0,971028","1,71E-04","-4,13E-04","1,59E-07",16,16,TAK,"1,83E-04","-5,82E-04","2,99E-07",9,9,TAK,"-3,71E-05","-3,09E-04","1,10E-07",29,29,28,TAK
,55,"-0,986706","-0,48632","-2,38E-04","5,74E-04","3,06E-07",15,15,TAK,"-2,82E-04","3,00E-04","1,64E-07",10,10,TAK,"-1,07E+00","5,35E-01","8,77E-01",29,29,28,NIE
,56,"1,78714","0,162163","1,47E+00","-7,53E-01","5,66E-01",10001,10001,NIE,nan,nan,nan,10001,10001,NIE,"1,75E+00","-8,73E-01","2,99E-01",29,29,28,NIE
,57,"-1,79223","-0,554592","-1,80E+00","8,12E-01","3,20E-01",10001,10001,NIE,nan,nan,nan,10001,10001,NIE,"-1,75E+00","8,73E-01","2,99E-01",30,30,29,NIE
,58,"1,38418","1,72088","1,59E-04","-3,84E-04","1,37E-07",18,18,TAK,nan,nan,nan,10001,10001,NIE,"1,07E+00","-5,35E-01","8,77E-01",31,31,30,NIE
,59,"0,117685","-0,198646","2,06E-04","-4,96E-04","2,29E-07",13,13,TAK,"9,51E-05","-3,25E-04","9,30E-08",8,8,TAK,"2,73E-04","-4,69E-04","2,41E-07",22,22,21,TAK
,60,"0,187104","0,561866","-2,41E-04","5,82E-04","3,14E-07",14,14,TAK,"-1,07E-04","3,72E-04","1,22E-07",9,9,TAK,"7,41E-05","2,40E-04","8,66E-08",28,28,27,TAK
,61,"-0,190728","1,41159","-1,74E-04","4,20E-04","1,64E-07",17,17,TAK,"-3,90E-05","2,34E-04","4,87E-08",10,10,TAK,"-5,65E-05","4,46E-04","1,80E-07",29,29,28,TAK
,62,"0,471266","-1,67235","1,48E-04","-3,58E-04","1,19E-07",18,18,TAK,"-2,33E-04","2,22E-04","1,06E-07",10,10,TAK,"5,95E-05","-4,86E-04","2,14E-07",29,29,28,TAK
,63,"-1,48196","-1,47211","-1,73E+00","8,27E-01","3,01E-01",10001,10001,NIE,nan,nan,nan,10001,10001,NIE,"1,75E+00","-8,74E-01","2,99E-01",55,55,54,NIE
,64,"-1,88416","-0,963331","-1,60E-04","3,85E-04","1,38E-07",17,17,TAK,nan,nan,nan,10001,10001,NIE,"-1,75E+00","8,74E-01","2,99E-01",32,32,31,NIE
,65,"0,583131","-1,53379","1,52E-04","-3,66E-04","1,25E-07",18,18,TAK,"-1,69E-04","2,07E-04","6,47E-08",10,10,TAK,"1,75E+00","-8,74E-01","2,99E-01",35,35,34,NIE
,66,"-0,514809","-0,678753","1,86E-04","-4,50E-04","1,88E-07",14,14,TAK,"6,66E-05","-2,51E-04","5,52E-08",9,9,TAK,"5,70E-05","-4,25E-04","1,63E-07",28,28,27,TAK
,67,"-0,769075","-0,631855","2,19E-04","-5,26E-04","2,57E-07",7,7,TAK,"1,94E-05","1,34E-04","2,14E-08",11,11,TAK,"-1,07E+00","5,35E-01","8,77E-01",29,29,28,NIE
,68,"-0,972512","-1,41846","2,16E-04","-5,21E-04","2,52E-07",14,14,TAK,"3,10E-05","2,93E-04","9,71E-08",11,11,TAK,"-1,07E+00","5,35E-01","8,77E-01",31,31,30,NIE
,69,"0,436583","1,77288","-1,78E-04","4,31E-04","1,72E-07",17,17,TAK,"-7,27E-05","3,67E-04","1,18E-07",10,10,TAK,"4,47E-05","3,33E-04","1,30E-07",31,31,30,TAK
,70,"-1,7708","0,268775","-1,54E+00","8,74E-01","4,74E-01",10001,10001,NIE,nan,nan,nan,10001,10001,NIE,"-1,75E+00","8,73E-01","2,99E-01",27,27,26,NIE
,71,"-1,51719","1,88018","-1,74E-04","4,19E-04","1,63E-07",18,18,TAK,nan,nan,nan,10001,10001,NIE,"-1,75E+00","8,74E-01","2,99E-01",29,29,28,NIE
,72,"1,39896","-0,855428","1,87E+00","-7,75E-01","4,32E-01",10001,10001,NIE,nan,nan,nan,10001,10001,NIE,"1,07E+00","-5,35E-01","8,77E-01",26,26,25,NIE
,73,"-1,64077","-0,506789","-1,29E+00","8,72E-01","8,22E-01",10001,10001,NIE,nan,nan,nan,10001,10001,NIE,"-1,75E+00","8,73E-01","2,99E-01",29,29,28,NIE
,74,"1,95934","-0,552322","2,13E-04","-5,14E-04","2,46E-07",18,18,TAK,"3,79E-05","8,37E-05","1,31E-08",11,11,TAK,"1,75E+00","-8,74E-01","2,99E-01",31,31,30,NIE
,75,"-1,16463","-1,38254","-2,07E-04","5,00E-04","2,32E-07",14,14,TAK,"8,22E-05","-3,66E-04","1,17E-07",10,10,TAK,"-1,07E+00","5,35E-01","8,77E-01",31,31,30,NIE
,76,"-0,676798","1,83837","-2,39E-04","5,76E-04","3,09E-07",18,18,TAK,"6,00E-05","-2,63E-04","6,07E-08",12,12,TAK,"-1,07E+00","5,36E-01","8,77E-01",29,29,28,NIE
,77,"1,55522","-0,655434","1,57E+00","-8,59E-01","4,41E-01",10001,10001,NIE,nan,nan,nan,10001,10001,NIE,"1,75E+00","-8,74E-01","2,99E-01",24,24,23,NIE
,78,"0,846543","-1,49231","2,31E-04","-5,59E-04","2,90E-07",19,19,TAK,"-3,74E-05","3,71E-04","1,27E-07",21,21,TAK,"1,07E+00","-5,36E-01","8,77E-01",28,28,27,NIE
,79,"0,406432","1,69841","-1,72E-04","4,16E-04","1,61E-07",17,17,TAK,"-7,22E-05","3,71E-04","1,21E-07",10,10,TAK,"4,79E-05","3,16E-04","1,19E-07",31,31,30,TAK
,80,"-1,44247","-0,200282","-1,40E+00","8,72E-01","6,75E-01",10001,10001,NIE,nan,nan,nan,10001,10001,NIE,"-1,07E+00","5,35E-01","8,77E-01",28,28,27,NIE
,81,"1,73209","-0,359873","1,41E+00","-8,44E-01","6,64E-01",10001,10001,NIE,nan,nan,nan,10001,10001,NIE,"1,75E+00","-8,73E-01","2,99E-01",26,26,25,NIE
,82,"1,11725","-0,856208","1,42E+00","-8,62E-01","6,47E-01",10001,10001,NIE,nan,nan,nan,10001,10001,NIE,"1,07E+00","-5,36E-01","8,77E-01",25,25,24,NIE
,83,"1,75661","-1,91697","2,09E-04","-5,03E-04","2,35E-07",20,20,TAK,nan,nan,nan,10001,10001,NIE,"1,75E+00","-8,74E-01","2,99E-01",28,28,27,NIE
,84,"0,022548","0,258244","-2,06E-04","4,97E-04","2,30E-07",13,13,TAK,"-1,75E-04","4,07E-04","1,56E-07",8,8,TAK,"3,01E-05","3,46E-04","1,32E-07",24,24,23,TAK
,85,"0,1129","0,327927","-2,32E-04","5,60E-04","2,92E-07",13,13,TAK,"-1,61E-04","5,74E-04","2,89E-07",8,8,TAK,"8,30E-05","2,48E-04","9,57E-08",26,26,25,TAK
,86,"1,43996","1,4038","1,85E+00","-8,36E-01","3,88E-01",10001,10001,NIE,nan,nan,nan,10001,10001,NIE,"1,07E+00","-5,35E-01","8,77E-01",31,31,30,NIE
,87,"-0,788464","-0,957401","1,60E-04","-3,86E-04","1,39E-07",14,14,TAK,"2,24E-05","1,26E-04","1,96E-08",11,11,TAK,"-1,07E+00","5,35E-01","8,77E-01",30,30,29,NIE
,88,"-0,159934","0,616285","-2,08E-04","5,03E-04","2,35E-07",15,15,TAK,"-1,02E-04","3,18E-04","8,97E-08",9,9,TAK,"-1,15E-04","4,61E-04","1,86E-07",26,26,25,TAK
,89,"1,73781","1,53028","1,89E-04","-4,56E-04","1,93E-07",20,20,TAK,nan,nan,nan,10001,10001,NIE,"1,75E+00","-8,73E-01","2,99E-01",31,31,30,NIE
,90,"1,24211","0,182677","1,36E+00","-8,52E-01","7,31E-01",10001,10001,NIE,nan,nan,nan,10001,10001,NIE,"1,07E+00","-5,35E-01","8,77E-01",27,27,26,NIE
,91,"1,33723","0,995328","1,32E+00","-8,74E-01","7,83E-01",10001,10001,NIE,nan,nan,nan,10001,10001,NIE,"1,07E+00","-5,35E-01","8,77E-01",30,30,29,NIE
,92,"1,89816","-1,83541","1,77E-04","-4,29E-04","1,71E-07",21,21,TAK,nan,nan,nan,10001,10001,NIE,"1,75E+00","-8,74E-01","2,99E-01",29,29,28,NIE
,93,"-1,00647","-1,97348","1,76E-04","-4,25E-04","1,68E-07",16,16,TAK,"5,23E-05","3,34E-04","1,35E-07",11,11,TAK,"-1,07E+00","5,35E-01","8,77E-01",32,32,31,NIE
,94,"1,05104","-0,524883","2,27E-04","-5,48E-04","2,79E-07",20,20,TAK,nan,nan,nan,10001,10001,NIE,"1,07E+00","-5,35E-01","8,77E-01",17,17,16,NIE
,95,"0,192998","-0,308789","1,97E-04","-4,75E-04","2,10E-07",14,14,TAK,"1,36E-04","-5,12E-04","2,30E-07",8,8,TAK,"2,41E-04","-4,04E-04","1,82E-07",24,24,23,TAK
,96,"1,42294","-0,114701","1,74E+00","-7,72E-01","3,09E-01",10001,10001,NIE,nan,nan,nan,10001,10001,NIE,"1,07E+00","-5,35E-01","8,77E-01",26,26,25,NIE
,97,"0,925806","-1,73905","1,82E+00","-8,40E-01","3,44E-01",10001,10001,NIE,nan,nan,nan,10001,10001,NIE,"1,07E+00","-5,36E-01","8,77E-01",29,29,28,NIE
